Thoi_Gian,Keo_Du_Doan,Tong_Von_Cuoc_USD
2026-02-22 20:05:38,Will the Ottawa Senators win the 2026 NHL Stanley Cup?,369668.495097
2026-02-22 20:05:38,Will the Buffalo Sabres win the 2026 NHL Stanley Cup?,367388.474618
2026-02-22 20:05:38,Will the St. Louis Blues win the 2026 NHL Stanley Cup?,355833.739945
2026-02-22 20:05:38,Will the New York Rangers win the 2026 NHL Stanley Cup?,350344.99685
2026-02-22 20:05:38,Will the Anaheim Ducks win the 2026 NHL Stanley Cup?,318476.750296
2026-02-22 20:05:38,Will the Winnipeg Jets win the 2026 NHL Stanley Cup?,298001.448602
2026-02-22 20:05:38,Will the New Jersey Devils win the 2026 NHL Stanley Cup?,283779.454745
2026-02-22 20:05:38,Will the Dallas Stars win the 2026 NHL Stanley Cup?,280105.654303
2026-02-22 20:05:38,Will the Edmonton Oilers win the 2026 NHL Stanley Cup?,277327.42847
2026-02-22 20:05:38,Will the Washington Capitals win the 2026 NHL Stanley Cup?,275806.198539
2026-02-22 20:05:38,Will Poland qualify for the 2026 FIFA World Cup?,261823.392322
2026-02-22 20:05:38,Will Italy qualify for the 2026 FIFA World Cup?,202675.397014
2026-02-22 20:05:38,Will the Tampa Bay Lightning win the 2026 NHL Stanley Cup?,154538.575002
2026-02-22 20:05:38,Will Ukraine qualify for the 2026 FIFA World Cup?,131642.103726
2026-02-22 20:05:38,Will Harvey Weinstein be sentenced to between 20 and 30 years in prison?,120336.698157
2026-02-22 20:05:38,Will the Carolina Hurricanes win the 2026 NHL Stanley Cup?,120155.006958
2026-02-22 20:05:38,Will Harvey Weinstein be sentenced to between 10 and 20 years in prison?,101054.437106
2026-02-22 20:05:38,Will Sweden qualify for the 2026 FIFA World Cup?,92889.471816
2026-02-22 20:05:38,"Will OpenAI launch a new consumer hardware product by March 31, 2026?",68899.753201
2026-02-22 20:05:38,Rojas guilty in Texas illegal abortion case?,54102.407771
2026-02-22 20:05:38,Will Harvey Weinstein be sentenced to no prison time?,45758.242532
2026-02-22 20:05:38,Senator Eichorn guilty of soliciting a child?,25510.073608
2026-02-22 20:05:38,BitBoy convicted?,23571.779408
2026-02-22 20:05:38,Will Harvey Weinstein be sentenced to less than 5 years in prison?,15485.218943
2026-02-22 20:05:38,Will Harvey Weinstein be sentenced to more than 30 years in prison?,13566.91373
2026-02-22 20:05:38,Will Harvey Weinstein be sentenced to between 5 and 10 years in prison?,11833.48448
